"PANTHEON-SORBONNE PARIS 1","Panthéon-Sorbonne","12, place du panthéon 75005 PARIS"
"PANTHEON-SORBONNE PARIS 1","Carré colbert","2, rue vivienne 75002 PARIS"
"PANTHEON-ASSAS PARIS 2","Antenne de Melun","19, rue du Château 77000 MELUN "
"PANTHEON-ASSAS PARIS 2","Centre Assas","92, rue d'assas 75006 PARIS"
